Teks Asli;Prediksi Lexicon
Produk lokas GK pernah salah,, mantap guyss. Jangan lupa beli, worth it bgt !!!!!;senang
sepatunya bagus dan berkualitas;senang
Alhamdulilah so far so good, sukses utk aerostreet;senang
Pas bagus sekali untuk pesanan ini;senang
Produk, sesuai pesanan, kurir ramah👍;senang
d kaki pas nyamn d pkek rekomen bagus;senang
Real pict... Pengirimanx juga cpt bgt...;netral
sangat baguss cocok buat anak sekolah;senang
sangat memuaskan tidak pernah kecewa;sedih
Barang sesuai ,bahan bagus;senang
bagus, desain keren adik saya suka;senang
Bagus , suka . Ini ke 2 kali nya beli aero;senang
Kece Badaii...,ganteng banget sepatu, next mau order lagi;netral
Alhamdulillah sepatunya sudah sampai sesuai pesanan, Adik minta beli ke2 kalinya soalnya sepatu yg 1 sdh robek. Terus berkarya. Terima kasih;senang
modelnya bagus seperti di gambar;senang
Barangnya bagus..sesuai dengan digambar;netral
Cakep bangeeeeettttt.... Iiihhh kereeennn.. makasiiihhh,, mau langgganan deh;senang
worth it untuk harga segini, dan semoga awett;senang
Design sepatu nya bagus, minimalis;senang
Keren kak sesuai dengan yg dimauin anak , berkah sll & smg awet barangY....👍👍🥰;senang
Mantab Mantab Pokoknya Mantap Kualitasnya;senang
Barang bagus sesuai, 👍👍👍;senang
Enak di pakai jahitannya rapi lagi;senang
keren banget sepatunya, bahannya bagus, nyaman di pakai untuk kerja, dengan harga yangg murah dapat kualitas sepatu kayak brand luar yang harganya jutaan;senang
mantap, tpi kotaknya remuk🗿;senang
Bentuk dan ukuran: Pass Warna: Hitam;netral
keren bagus mantap pokonya modelnya........;senang
Bentuk dan ukuran: Bagus ukuran pas Aroma: Wangi masih baru Daya tahan pakai: belum tau Warna: Sesuai gambar (sesuai ekspektasi);senang
Pertama kali lihat sepatunya, memang terlihat bagus, ternyata emang sebagus itu, pas dipakai juga enak, outsolenya itu kerasa ngerekat bgt di lantai jadinya ga kerasa licin;senang
Nice langsung aku pakai mantapp banget, dan Next beli lagi;senang
Mendarat dengan selamat, sol cukup tebal, bagian dalam bertekstur halus, nyaman digunakan;senang
Bentuk dan ukuran: sesuai,pas;netral
Sepatu sudah saya terima dengan cepat dan aman, masih agak keras pas dicoba pakai tapi ya namanya juga sepatu baru. Design cukup keren, tidak kalah kalau dibandingkan dengan brand-brand lainnya. Pengiriman cukup cepat dan sesuai dengan perkiraan namun pas saya terima boxnya agak remuk tapi sepatunya masih aman. Sepatu yang saya terima juga sesuai dengan spesifikasi yang diberikan oleh seller. Recommended seller.;senang
Sepatu nya bagus tapi ada sedikit masalah di bagian insolnya gak ke lem semua jadi aku kasih bintang 4;senang
Sesuai ekspektasi, nais👌;senang
Bentuk dan ukuran: ukuran sesuai,bentuk desain bagus sih Daya tahan pakai: cukup awet Warna: bagus warna hitam pekat;senang
overall enak dipake, cuman sol sepatunya keras. mungkin terkait sol dibuat lebih empuk didalam dengan nambah ruang dikit aja biar bisa ditambah busa atau apa gitu biar empuk. soalnya kalo jalan rasanya kurang convenient lama lama pegel.;netral
Barang sudah sampai dengan aman mungkin karena bahannya yang memang sedikit tebal jadi sesak padahal sudah saya lebihi. Sedikit saran untuk yang mau pesan dilebihi 2/3 cm. Dan juga untuk packaging mungkin bisa di beri bubble wrap karena box penyok meskipun isi di dalamnya aman.;senang
Barang Bagus, Sesuai dan Pas;senang
Kalau dari kualitas bahannya, mungkin aerostreet nggak bisa diragukan lagi. sayangnya, ada ketidakselarasan antara stok yang tertera di aplikasi sama di gudang. sehingga ketika pesanan sudah dikonfirmasi, baru diinfokan kalau stoknya tidak ada. menurut saya itu fatal, karena sebelumnya pasti kita sudah mencari-cari sepatu dan membandingkannya sebelum membeli.;sedih
Spatunya nyaman enak di pakai belum di coba pakai seharian , keseluruhan oke, pengiriman cepat fast respon;senang
Barangnya bagus hanya saja untuk lapisan paling bawah ada alasnya double ditelapak kaki;senang
Ukuran dari sana sam ukuran kaki beda sengaja mesen 41 karna sering make 40 eh malah kekecilan banget, dari sepatu nya si bagus banget;senang
Warna: Sesuai Daya tahan pakai: Kuat Bentuk dan ukuran: Sesuai;senang
100%ori mantap packing rapi pengiriman cepat;senang
Bentuk dan ukuran: bagus Daya tahan pakai: bagus Aroma: bagus;senang
Bentuk dan ukuran: pas Daya tahan pakai: kuat Warna: matching;senang
Recommend banget sih dngan harga murah tapi kualitas ga murahan, nyaman banget di pakai;senang
Bentuk dan ukuran: Bagus Aroma: . Daya tahan pakai: Sangat tahan;senang
Produk lokal nggak kalah baguss nyaman tampilannya juga keren semoga awett;senang
sedikit kecewa,yg dipesan warna hitam tapi yg datang biru Tua,gatau ini apa mksd nya! mohon lebih teliti lagi,karna kepuasan customer no 1. sekian terimakasih;senang
geeloooo goks gini brok sepatu Nya next time co lagi;netral
Barangnya sesuai minesnya cuman ada lem sikit yg lengket di depan 😅;senang
Sepatu y bgus rekomend dengan harga segitu;netral
sebernernnya kurang puas karena packing nya penyok² tapi gapapa tetep bagus kok sepatunya😇🤩;senang
Nyaman dipakai dan ngga kalah ama brand luar;senang
Sangat cocok, bagus sekali;senang
barang dah sampai,  bagus mantap;senang
bagus, dengan harga segini. puas. mudah²an awet.;senang
Baik Bentuk dan ukuran: Pas Aroma: Baik Daya tahan pakai: Semoga awat Warna: Sesuai;senang
baguss sesuai gambar,tapi sayang kardusnya rusak gara² kehujanan untung isinya amann;senang
All goods were received well. fast CS response and fast order process 👌;netral
cepat sampai,dan saya suka skali sepatunya;senang
No 42 nya terlalu pas dikaki anak saya, mungkin kedepannya kl beli hrs up 1 nomor, kl untuk kualitas sepatunya ok banget;senang
Bentuk dan ukuran: Oke Sepatunya ringan, enak di pake;senang
Bagus cuma kekecilan, kayanya size kecil ini;senang
bagus, cuman kardusnya aja yang rada penyok sedikit;senang
Baru pertama beli sepatu aerostreet. Cuman banyak bola yang keluar jdi kurang rapih;senang
Keren bagus, pengiriman cepat jugaa;senang
Barang Kualitas bagus, bangga product lokal Dan tetap jadi langganan;senang
Barang sampai sesuai waktu, sesuai pesanan, barngnya toop bagus, pas, nyaman dipakai;senang
Ukuran pas warna sesuai bahan oke puas sekali;senang
Bentuk dan ukuran: 41 (pas);netral
Sepatunya oke banget! Kualitas bagus, desain simpel tapi tetap stylish. Cocok juga dijadiin kado, recommended!;senang
Alhamdulillah ORI eyy;senang
Keren.. bagus.. pengiriman cepat..;senang
Alas kaki terlalu empuk, ada harga ada kualitas;netral
Mantap sesuai pesanan barang bagsu;senang
Bagus cuman agak kekecilan padahal udah ditambah size biasanya;senang
"plis bgs😭 real pict gd lecet kotak ny jg g penyot"" pling cmn dkit aj gd rusak😭";marah
sesuai pesanan,,, sudah langganan sejak anak Ku kelas 1 sd sampai sekarang kelas 6,,,,sepatunya terbukti benar2 awet, solnya kuat gk mudah lepas, sekarang bli lg Mao model lain, nex bakalan order lg, model yg lainnya, lokal tak gentar💪💪💪;senang
selalu bagus.. hampir semua sepatu di rumah merknya aerostreet, mulai dari yg dipake kerja sampe yg dipake sekolah. modelnya bagus, dipake juga nyaman, udah mana muraaahhhh yaampun sukses deh buat yg nyiptain ini..❤️‍🔥;senang
Bentuk dan ukuran: Pass Bagus sekali 👍👍 Paket sampai dengan selamat dan aman di tujuan. Terimakasih;senang
Produk bagus sesuai di gambar;senang
mantaaap si okelah diskonnya  yang pasti pasti pasti pasti;senang
dri kualitas aero gk pernah boong kuat cuy jgn ragu browh;netral
Barang oke, pengiriman cepat, checkout Minggu pagi, Senin sore sampai, besoknya langsung dipake sekolah;senang
Bentuk dan ukuran: Ok Aroma: Ok Daya tahan pakai: Awet Warna: Hitam;senang
nyaman.. pas sesuai ukuran kualitas jg sesuai ok..;senang
Keren sumpah bagus bngt bahan nya bagus jahitan nya rapi;senang
Sepatu nya nyaman , sesuai ukuran dan desain bagus;senang
3M (Mewah,Murah&Mantap);netral
Bentuk dan ukuran: Pass Aroma: Wangi Daya tahan pakai: Semoga awet Warna: Sesuai;senang
Sepatu lokal yg murah, modelnya simpel rapi tpi classy, insole lembut dan tebal, hanya saja sole luar nya kurang dapat grip nya di lantai keramik, agak licin jika bermanuver mendadak di keramik;senang
brand lokal rasa luar;netral
Udah sering beli paket aero street bahan awet banget ,kalau kualitas ga usah di raguin;netral
Sesuai dengan yang di iklankan, pengiriman cepat, agak berat sepatunya, dan kasar didalamnya;senang
Mantap,barang sudah sampai dg aman;senang
Bentuk dan ukuran: Pas Aroma: Wangi baru Daya tahan pakai: Mudah2hn awet Warna: Sesuai;senang
bagus.. produk sesuai original juga makasih banyak;senang
cek out tgl 1 baru terima tgl 22 . pake minta di selesaikan dulu biar bisa retur . otak dangkal. retur pke sok²an di rijek lg. udah salah sok² an;netral
Pengiriman cepat.. nicee Diaku masih kesempinan tapi sofar worth it buat harga segitu. Makasih yaa;senang
Brand lokal paling ga bisa di raguin, joss lah;netral
Sesuai dengan ke inginan anaku, dia suka;senang
Bagus tampilanya, empuk sagat nyaman dipakai;senang
Bentuk dan ukuran: Cocok Sesuai ekspetasi;senang
Barang sesuai,,,nggak expect bakalan secepat itu nyampe kerumah nya, cuma satu hari aja, padahal beda kota. awalnya takut karena pembayaran COD,tapi Alhamdulillah nyampenya cepet jadi nyampe pas libur kerja,,puas banget.🥰..;senang
Mantap,,,  sesuai pesanan,,,;senang
Recommend buat kamu kamu sekalian yang pengen sepatu keren, kualitas terjamin harga terjangkau  Makasih seller, best pokok e;senang
sebenarnya lokal gk kalah bagus tapi kurang di finishingnya aja yg masih berantakan. ya semoga improve terus, kalok rapi sih pasti langganan;senang
Barangnya bagus. Nyaman dipakai. Baru kali ini nyoba sepatu lokal, dan spertinya akan lanjut hahahha..  Lokal tak gentar !!;senang
Ternyata 43 masih kekecilan di kaki adek ku wkwkw. Tapi sepatunya baguss;senang
ga ada yg diraguin lg dehh pembelian ke 4..;netral
Bagus kualitas..reaksi cepat..pengiriman jg cepat;senang
Mantap pengiriman sangat cepat dan sesuai, tapi sayangnya packingannya tidak aman;senang
Bagus, sayang nya salah ukuran, kekecilan;senang
Bagus sepatunya anakku suka;senang
Bagus;senang
barang sesuai bagus sekali nyaman di pakek😊;senang
Bagus sepatunya sesuai sama pesanan,kualitas oke harga murah tapi kualitas bagus puollll,next order lagii dehhh pokoknyaaa;senang
Ukuran pas, bagus;senang
Produk bagus, cepat sampai. Yg biasa pakai size 44, di aerostreet cukup di size 43. Size nya lebih besar 1 nomer dari ukuran biasa.;senang
Bagusss sepatu nyaaa, harga nya terjangkau kualitas bagus;senang
Bentuk dan ukuran: 43 pengiriman cepat, lagi diluar tau-tau dah nyampe, untuk barang aerostreet udaa pasti mantap, semoga tetap selalu jaga kualitasnya namun dengan harga yang terjangkau #lokaltakgentar;senang
wkwk kekecilan (salah pesennya? tapi kaki masih bisa masuk;marah
mantap ukuran pas dan sesuai di foto ya, tidak menggecewakan;senang
kotak banyak penyok dan plastiknya sobek”;senang
"Barang berkualitas keren empuk sangat rekomendasi bagi anak"" sekolah atau buat main juga oke";senang
modelnya keren, pas, nyaman dipakai😁 barang mendarat aman sampai tujuan😁;senang
barang sesuai deskripsi produk recommended 👍👍 thanks seller thanks kurir pokoknya belanja di sini di jamin PUAS 👍👍;senang
barang dalam keadaan baik, yang jadi masalah adalah kurir yang sangat lama, berminggu-minggu sampai lewat estimasi waktu terlama, setelah dikomplain baru diantarkan.;sedih
Mntap bgus n berkualitas;netral
Bagus ssesuai ekspektasi, jahitan rapi👍;senang
bagus barang nya , tp kurir tolong jangan pake sicepat lagi , gak cocok di sebut sicepat;senang
Yg dikirim spatu ccacat 👎👎👎 emg gada pengecekan apa gmna ya;netral
Original, sesuai pesanan, pokoknya puasss banget,yang belum cek out buruan cod👍👍👍;senang
Untuk produk dengan harga segini termasuk bagus, namun seller buru2 bgt mengirimkan stock lain ketika pesanan yg di order tidak ada sebelum sepakat dengan pembeli karena alasan batas waktu yg tidak lebih dari 1x24 jam. Maka setelah barang diterima, pembeli harus mengcomplain barang dan mengembalikan barang dengan ongkir yg di tanggung pembeli. Lalu setelah memilih barang lg yg ada di toko dan sudah terkonfirmasi ke adminya, ternyata barang yg diterima salah ukuran harusnya 43 jadi 42.   Sangat di sayangkan jika brand lokal ternama rusak dengan pelayanan nya.   *Kritik membangun bukan menjatuhkan;senang
Paketan gk kayak biasa nya, klu bisa d bungkus bublewarp;senang
Bagus walau agak kaku dikit;senang
selalu suka barang aerostreet, murah ga murahan bagus!;senang
Best emng ini barang. Ini pembelian ke 2. Udh 1 tahun pemakaian buat kerja kurir jalanan panas , becek , ujan , blablabla tau jalanan gimana pemakaian setiap hari tpi gilaaa AWETTT PARAH SAMPE SETAHUN🔥🔥🔥🔥🔥🔥;senang
Alhmdulillah..real pict Toko amanah..barang sangat bagus Recomended lah buat kawan tiktok semua👍;senang
simple desainnya , sayangnya promo cuma ukuran 40 aja, pas pasan bngt ama kakiku wkwk;senang
sampai dengan cepat dan tepat.. semoga awet 😃;senang
kekecilan dikit pdhl udah + satu nomor. tp bgs sptunya;netral
seperti biasa produk lokal satu ini selalu memuaskan🤍🤟🏼;senang
Cintai produk lokal mas ee;senang
Ok sih cuman jahitannya bisa lebih rapi lagi;senang
keren, ga kalah sama brand lain  rasanya bangga bisa beli produk lokal, dan bangga juga yg lokal bisa bikin sepatu sebagusss iniii;senang
Gak pernah nyesel beli aerostreet mantappp;netral
bagus barang oke Weston top;senang
Pengirimannya cpet bngt brg sesuai sm fto emng sebagus ituu... Tp ini autsolenya injiection yak bkan sistem pengeleman smoga awet smpe bertahun2 next beli lg buat kado wkkwk;senang
Pengiriman cepat, bentuknya sesuai gambar dan warna sesuai;senang
Beli lagi krn yg kmren kekecilan . Selalu puas;senang
Kualitas sepatu nya dengan harga segthu ya  asli bner g murah jg bentuknya keliatan kaki g luwes sepatu nya ... kurang ok sich mnrt saya klo buat anak sekolah aja sich gpp dh ....;senang
produk bagus sampainya juga cepat plus kurir baik;senang
Barang sesuai nyaman dipakai;senang
Bagus bngt insholenya tebel anak saya suka ga sempet foto udah d bawa ke pesantren;senang
Bahan bagus, kualitas OK;senang
Baguuuuuuuuus Top markotop Jadi punya sepatu kualitas bagus ,tapi dgan harga terjangkau Terimakasih;senang
Jaitan kurang rapih,,;senang
Sepatu nya bagus dan sesuai real pict ga nyesel deh pokoknya udh beli di sini;senang
Sesuai bget ... suka pas di pkai juga nyaman sepatunya Gk nyesel pokoknya;senang
pengiriman j&t sangat cepat, kualitas lumayan, packing ga aman, kardus penyok gaada buble wrap;senang
Barang bagus the best seller;senang
Sangat bagus buat sepatu yang dibeli hasil gaji kerja;senang
Sepatu nya banget dikaki, nyaman, bahan nya juga bagus, sangar recomendasi ini buat yang nyari sepatu harian, mau pun kegunung..hahaha  Sukses selalu buat aerostreet indonesia, terus berkembang jadi yang terbaik..;senang
almost perfect, secara desain oke banget di harganya, build quality juga sesuai, finishing semoga bisa libih rapi lagi. packing nya ngeri ngeri sedap, cuma plastik bening tipis dan ga bubble wrap.;senang
Ukuran sesuai yang di inginkan Warnanya bagus Jahitannya rapi Bahan berkualitas no tipu tipu Packaging simple;senang
Modelnya keren! Pas di badan & nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.;senang
nyaman, cuman agak gerah dikit di kaki. untuk harga segini worth it banget;senang
Alhamdulillah sepatunya nyampe juga Pengiriman cepat Barang aman Kualitas nggak perlu ditanya lah ya Semoga awet lah ya Amiiiin;senang
model nya keren, nyaman dipake ngga berat..;senang
Barang Cepat datangnya, barangnya bagus, modelnya bagus, dan untuk ukuran 43 muat di kaki saya, oke lah 👍🏼;senang
Alhamdulillah,, mantap banget,, bagus,, kenapa dari dulu gak beli merk ini,, cuma agak kecewa sama ekspedisi pengiriman nya,,, kardusnya sampai rusak,,, tolong lain waktu ganti J&T aja, lebih cepat dan lebih safe;senang
Overall bagus ukuran sepatu pas seperti yang saya inginkan tidak longgar maupun sesak, real pict dan semoga awet seperti sepatu aerostreet ku yang dulu sampai 4tahun ,   *saran untuk sisa karet untuk di triming bersih ya thanks you😊;senang
modelnya bagus, keren, gagah, aku sukaa tapi pas dipake agak sesek, kaki 23cm insolny 24,6cm pres bgt, kurang nyaman sih, tapi biarin dah mudah2an bisa melaarr;senang
barang bagus kualitas bagus pengiriman barang cepat;senang
Barang sampai dengan aman, box tidak penyok, sesuai ukuran pas bngt dikaki, tpi its oke gpp, warna nya bagus kombinasi, tapi bagian belakang sepatu ada noda warna kuning, dikit tpi keliatan 😭 dan untuk finishing nya tlng diperhatikan lgi. Terimakasih 🙏;senang
sepatu nya keren dan sesuai ekspektasi.. mantap kualitas aerostreet itu memang terbaik dan tidak diragukan lagi .. saya selalu beli Aerostreet... terimakasih;senang
untuk ukuran sesuai, tapi ada sedikit benang yang terlihat digambar;senang
Mantap barangnya grees bner enak juga dipake ny;senang
Paket sudah sampai cpt bgt pengiriman nya mantab,ini saya beli yg kedua kalinya tapi ada jahitan yg kurang rapi min tolong di tingkatkan lagi ya Untuk kualitas biarkan bintang yg berbicara, terimakasih seller yang amanah dan kurir andalan;senang
modelnya keren sepatu nya bagus empuk jadi enak di pakai mudah2an awet seller juga fast respon pengiriman lumayan karena jauh yaa;senang
keren banget bahan keren nyaman model solnukuran sip;senang
Sesuai ekspektasi, bagus dengan harga di bawah 200k;senang
Mantappz Barangnya Bagus Bentuk dan ukuran: Pas bngt Warna: Sesuai;senang
how to get rid of a pimple on your way home or do you;netral
Kerenn bgt sumpah aq suka mkasi kk bagus bgt realpic🥰🥰 Ada sdikit gelembung ya tpi gk ngaruh;senang
good banget.. di pake juga nyaman mungkin hanya di ukurang yang biasanya 42 aku kegedean tapi kalo ini terlalu pas jadi agak sempit dikit, ga ngaruh👍;senang
Kualitas sangat bagus sekali, elegan banget, Bentuk dan ukuran: Pas sesuai dengan ukuran.;senang
Thankyou Aerostreet and kurir  barangnya sudah sampe dengan selamat, untuk sepatu nya bagus bahannya juga bagus dan real pict, buat packingannya bagus walaupun ada sedikit rusak di kotaknya tapi tidak menjadi masalah sepatunya tetap aman;senang
modelnya bagus, kualitas baik, nyaman dipakai;senang
Produknya tidak pernah gagal Murah bukan murahan Kwalitas justru mnrut aku lebih baik dari merk import sih Sudah langganan merk aero street;senang
baguss, pass  enak dipakai sesuai harga lem agak belepotan tp bisa di hilangin;senang
keren, aku suka banget sama desain nya mantap cakep banget. dari dulu beli disini awet semua🫰;senang
Bentuk dan ukuran: Bagus agak kegedean dikit Warna: Keren sihh Daya tahan pakai: Jelas gak di ragukan lagi;senang
Barang landing dengan aman... Barang sesuai pesanan... Ini orderan ke 3x nya... sungguh terlalu, kecewa sekali, karena baru tau skg klau ada produk sekeren ini dgn harga terjangkau... ini pasti repeat order trs 👍🏻 ubur² ikan lele, buruan beli le sebelum kehabisan... ..;senang
Keren dan ukurannya pas di kaki;senang
Worth it banget sepatunyaaa. Bagusss pass ukurannya;senang
Semuanya bagus bagi saya cuma lain kali tolong di bagian packing kasih perlindungan lebih ya 😁;senang
Good quality dengan harga yg tdk mahal. Produk lokal yg rekomended;senang
so far so good untuk barangnya, udah beli kedua kalinya yg pertama untuk istri yg kedua untuk sendiri. cuman kendala ekspedisi aja paket sempat hilang agak aneh udah dibawa kurir 4 hari tidak pernah sampai;senang
Bentuk dan ukuran: sesuai dengan pesanan Warna: hitam putih pesanan tepat waktu, sesuai dengan yang diinginkan, sudah beli beberapa kali ini barang selalu tidak mengecewakan.. *produk lokal,selalu handal*😁😁😁😁😁🫰;senang
mantap selalu terbaik dan memuaskan tidak mengecewakan aerostreet 👍;senang
Terdapat jahitan/benang hitam yang menancap di midsole sepatu jadi tolong lebih di perhatikan lagi;netral
Cakep modelnya.. Pas ukuran ny;senang
Barang bagus, pengiriman cepat,suka deh pokok nya;senang
GOKIL NIH SEPATU, UDAH KECINTAAN BANGET SAMA WARNA DAN MODEL INI, BTW BOLEH GAK MIN DI KIRIMIN SATU TRUK UKURAN 43-44 HAHAHA BECANDA MIN, MAKASIH UDAH BUAT SEPATU SEKECE DAN SEKEREN INI YA ARIGATOUUUU!!😍👏🏻;senang
Cakep, kemeren dpt harga 141rb lumayan potongan tiktok 👍🏻;senang
Barang sesuai, tapi yang membuat kecewa adalah packing yang transparan membuat data pemesanan saya bocor kepada penipu yang merugikan saya, kenapa saya bisa tertipu ya karna saya kira itu dari real expedisi, dan bodoh nya saya bisa tertipu, ah sudah lah;senang
Bentuk dan ukuran: Sesuai Sepatunya kece abizz;senang
Sesuai sama di gambar ukuran juga dikirim dengan sesuai. Mantap lah;senang
Selalu puas dan suka dengan produk aerostreet;senang
Meskipun telat nyampe, tapi barang sesuai sihhh keren parah;senang
Real pict sesuai iklan Produk mendarat dengan mulus no minus ukuran pas presisi mantap lah pokoknya gk pernah kecewa belanja di aero street sukses terus semoga awett produkny;senang
Bentuk dan ukuran: Bentuknya bagus dan keren, untuk ukurannya sudah pas tidak kebesaran dan tidak kekecilan Daya tahan pakai: Untuk daya tahannya belum tau tapi semoga bisa awet untuk dipakai lama;senang
Bagus, cuman saran aja yang mau beli misak ukuran kalian 40,pilih yang 41 aja biar enak dipakenya, kardusnya juga lumayan rusak mungkin pas di expedisi ya. Tapi barang oke aman;senang
. Review jujur. Ukuran pas dan keren banget dipake solnya tebel. Cuman klo dipake seharian bikin pegel telapak kaki jdi ganti pake alas lain. Nyaman dipake. Desain modis bgt. Lemah di alas nya doang. Next alasnya di perbaiki  yok. Cheers;senang
bagus sih tapi banyak banget benanang yang keluar keluar gitu jadi keliatan kotor;senang
Bahan baguss nyaman lapisan kaki teball empuk enak buat jalan rekomendasi bangettt...;senang
Baru punya 3 pasang, untuk kualitas gak pernah berubah tetep best👌👍;senang
Oke Keren karet sol sengaja dilepas biar agak longgar, ambil Uk 42 agak kecilan karna sol nya ada tambahan karet;senang
overal udh bagus,walau ada sedikit benang sisa, warna itam dikit, dan sol lepas dikit ya masih lumayan lah,tapi box nya bawadehek.;senang
oke lumayan  ukuran nya 41 ternyata ga sebesar yang ku kira pengen nya agak di longgarin ternyata 41 cuma longgar dikit banget;senang
Agak kecewa sih sol sepatunya agak kotor kyk hbis dicoba dan packing plastiknya sudah kebuka pas diterima kemungkinan dari pihak ekspedisinya. Tapi untuk sepatunya overall bagus dan keren 👍;senang
Cakep. Kualitasnya bagus untuk harga segini. POV finishingnya tergolong rapi walau ada sedikit sisa benangnya. Terasa lebih berat bila dibanding dengan sneakers ku yg merek Reebok, namun masih nyaman digunakan. Size 41 utk Aerostreet ini sama dengan size 40 di Reebok ku.;senang
sepatunya kelihatan besar bangett, tapi pas dipake kek sempitt, padahal udah sesuai sama panjang kaki malah dilebihkan. tapi oke sihh, barangnya cepet sampe bahkan diluar prediksi. tapi kardus sepatunya basah soalnya packingannya cuman plastik jadi kehujanan.;senang
Barang nya sesuai deskripsi, bagus dan premium,. Selebihnya bagus semuaa gaada cacat atau kerusakan. Tapi mungkin next dari packingb alangkah baiknya dibikin lebih save lagii yaa min,  Barang nya keren;senang
untuk ukuran pas dan nyaman di kaki  modelnya juga oke bagus  terbaik dah aerostreet;senang
keren,pas di kaki goodjob walaupun ada dent sedikit kuning di out solenya tapi gapapa;senang
gede banget ternyata hahaha, tapi gapapa semoga oke buat jangka panjang, aman banget untuk ukuran, style bagus, suka banget,  cuma gatau kenapa kalo buat tumpuan lama di tumit kurang nyaman aja  selebihnya oke banget, kecepatan pengiriman juga sippp, terimakasih seller dan kurir;senang
Bentuk dan ukuran: Sesuai Warna: Sesuai ekspektasi Daya tahan pakai: Kuat Aroma: ----;senang
Paket sepatunya sudah sampai dengan cepat Setelah saya cek, semuanya sesuai dengan yang saya harapkan Kualitas bahannya sangat bagus dan nyaman dipakainya Terimakasih;senang
barang bagus sesuai spesifikasi di lapak, paling aman, pengiriman  nunggu 2 hari baru kirim, pelapak komunikatif;senang
Bagus, pengiriman lama 1 minggu, kotak nya penyok nying, its oke barang bagus;senang
Trimakasih, barang sesuai pesanan dan pas, pengiriman nya cepat, tapi dus nya penyok dan tdk d pak dgn baik dri tokonya;senang
Rekemen bgt, yang mau order jangan ragu lagi, puas bgt, realpick, bahan,design, ok bgt, untuk kalangan muda mudi, dan rekomendasi juga buat formal maupun non formal . Thebast🫵  Ukuran: pas, normal;senang
Bagus overall oke smua, saran sih kalo pesen naikin 1 sz misal dari 43 pesen 44👍🏻;senang
barang sampai sesuai waktu. cuma kardus ny ancur parah (mungkin dri pihak ekspedisi) tapi, overall sepatunya cakep.;senang
Bagus banget,ga nyesel belinya,kualitas bagus dan packingannya bagus banget;senang
pengiriman nya cepet,ukurannya juga pas mantab deh,kualitas nya juga bagus;senang
Produk bagus tapi packing kurang bagus usahakan packingnya bisa lebih rapi lagi top produk indonesia;senang
kualitas sebagus itu tapi harganya malah sangat murah🤭 lumayanlah bisa di pakek jalan2;senang
gileee kecebadaii,, barang bagus banget empuk, nyaman dan pas, btw saya up sekitar 3 size, soalnya kemarin beli up 1 size sempit bangettt dan ujung nya dikasi ke saudara... pokoknya mantap dehhhhh  saran saya mohon di perhatian untuk ujung jahitannya;senang
Kesan pertama keren banget modelnya. Agak kaget sama sol sepatunya. Tapi tetep enak dipake kok. Soalnya biasanya sol sepatu Aerostreet itu tebel. Entahlah.. Mgkn kaki saya aj yg blom biasa sama sol model baru ni. Overall, good job seller. ⭐⭐⭐⭐⭐;senang
Sesuai foto dan ukuran, kata anak saya suka modelnya dan nyaman dipakai;senang
Sepatunya keren walau pun agak kebesaran sedikit tapi ini udah bagus banget;senang
Kualitas tidak diragukan lagi, sangat bagus Aero street memang terpercaya👌;senang
Mantul sekali...gak bikin video unboxing yakin bakal bagus barangnya;senang
Bentuk dan ukuran: Sesuai Aroma: Oke Daya tahan pakai: Semoga awet Warna: Hitam,putih Pengiriman cepat, bahan bagussssss, smogaa awett;senang
Respon cepat, orderan cepat, mantap josss pokoknen, sukses selalu, terima kasih;senang
bagus euy, datangnya cepat barang juga tidak mengalami kerusakan saat datang, modelnya juga memuaskan dan ukuran sepatunya juga sesuai dengan pesanan (bau sepatunya juga enak bet);senang
modelnya keren, nyaman dan bagus! warnanya juga cocok. mayanlah kalo dibuat nongkrong msh enak dipandang;senang
Bentuk dan ukuran: Kegedean 1 size Warna: Sesuai, Produk asli sesuai gambar,;senang
Bentuk dan ukuran: Pas Warna: Keren Aroma: Wangi Daya tahan pakai: Semoga Awet Gokil.;senang
Alhamdulillah akhirnya yang ditunggu tunggu datang jugaaaa😭 sepatunya bagus, packingnya juga rapih, nyaman dipakai, bawahnya juga karet jadi empuk😅 ga nyesel deh beli disinii😭🙏 makasih banyak;senang
Bagus kece keren gacor ganteng , tapi jaitan di pinggir benang nya ada lebih jadi kurang rapih tapi gapapa;senang
Jahitan ada yg keluar jalur. Dan potongan hitam diantara Kanan kiri tidak presisi.;senang
Barangnya bagus, tapi kerdung agak penyok;senang
Udh lama liat review dr orang2 katanya produk lokal dgn harga murah tapi kwalitasnya ga main2 semoga beneran awet ya thanks;senang
Saking senengnya oengen cepet unboxing,sampe lupa video in Maaf ya min🙏🏻🥺;senang
Awalnya ragu pengen cancel mau pilih warna lain, ternyata pas dateng bagus bgt sih premium poll, kek bukan sepatu 100rb an. Next order lagiiii;senang
Maaf baru kirim ulasan barang sudah sampai dgn selamat walaupun kardusnya penyok isinya aman sulaiman...dan ini pembelian ke3  ditoko aerostreet alhamdulillah gx pernah nyesel samsek next order pokoknya🤩;senang
Sepatunya bagus,klo bisa pengemasannya lebih bagus lgi kak soalnya sayang kotaknya od penyok gk pke bubble wrap,sayang banget;senang
Realpict ukuran pas dan sesuai dengan ukuran kaki goodjob terimakasih aerostreet barangnya gak main-main produk lokal yang istimewa..;senang
