text,emotion
"Barang biasa aja sih, tidak ada keistimewaan.","netral"
"Pengemasan standar, tidak ada bonus atau tambahan.","netral"
"Kualitasnya biasa, tidak terlalu buruk juga tidak terlalu bagus.","netral"
"Tidak ada masalah, tapi tidak akan repurchase.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur unggulan.","netral"
"Produknya bagus dan awet, saya pasti beli lagi!","senang"
"Barangnya sangat membantu pekerjaan saya.","senang"
"Kualitas premium dengan harga yang bersaing.","senang"
"Pengiriman cepat dan gratis ongkir, mantap!","senang"
"Layanan pelanggan sangat responsif, terima kasih!","senang"
"Barang tidak sesuai deskripsi, sangat kecewa.","marah"
"Kualitasnya buruk, bahkan untuk harga murah.","marah"
"Barang tidak sampai-sampai, akhirnya batal beli.","marah"
"Barang rusak dan tidak bisa ditukar.","marah"
"Pelayanan tidak profesional, tidak akan beli lagi.","marah"
"Barang hilang di jalan, sedih rasanya setelah bayar mahal.","sedih"
"Tidak ada kompensasi sama sekali dari penjual.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang tidak bisa diretur karena alasan teknis.","sedih"
"Saya kecewa karena tidak ada opsi refund.","sedih"
"Barang biasa aja sih, nggak jelek-nggak bagus.","netral"
"Tidak ada keluhan, tapi juga tidak akan saya rekomendasikan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang masih baru, tapi kurang cocok untuk saya.","netral"
"Barang biasa, tidak akan beli lagi kalau habis.","netral"
"Produknya bagus dan cepat sampai, mantap!","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya benar-benar oke, sesuai harapan.","senang"
"Barang cepat sampai dan packing rapi sekali.","senang"
"Saya pasti beli lagi nanti, sangat membantu.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan uang hangus sia-sia.","marah"
"Barang rusak saat diterima, sangat menyebalkan.","marah"
"Penjual tidak profesional, tidak merespons chat saya.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak dikirim tepat waktu, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan lebih.","netral"
"Barang biasa, tidak ada fitur unggulan.","netral"
"Pengiriman biasa, tidak ada delay tapi juga tidak cepat.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Kualitasnya mantap untuk harga segini, recomended!","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Produknya sangat membantu, saya pasti beli lagi!","senang"
"Barang tidak seperti yang saya pesan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak sesuai harga.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada hal menarik.","netral"
"Barang biasa, tidak akan saya beli lagi.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang biasa, tidak akan saya repurchase.","netral"
"Produknya sangat memuaskan, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya benar-benar oke, sesuai harga.","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan uang hangus sia-sia.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Barangnya sangat bagus, cocok untuk saya.","senang"
"Kualitasnya oke dan harga terjangkau.","senang"
"Barangnya sangat bermanfaat, mantap!","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Produknya mantap, sangat membantu.","senang"
"Barang tidak seperti yang saya pesan, sangat kecewa.","marah"
"Kualitasnya buruk, tidak sesuai harga.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, sangat menyebalkan.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, sangat menyedihkan.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim tepat waktu, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Produknya sangat membantu, saya suka banget!","senang"
"Saya sangat puas dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan kondisi masih baru.","senang"
"Barang tidak sesuai foto, warna pudar dan bahan kasar.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan uang tidak kembali.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak profesional, tidak merespons chat saya.","marah"
"Saya sedih karena tidak bisa paket diretur.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa digunakan, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada keluhan, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya repurchase.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Saya sangat senang dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya ekstra baik.","senang"
"Barang tidak seperti yang saya harapkan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak dibeli.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Promo tidak valid, sangat menipu!","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang biasa, tidak akan saya rekomendasi ke orang lain.","netral"
"Produknya mantap, sangat bermanfaat buat saya.","senang"
"Saya puas banget, barang lebih dari ekspektasi.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, recomended seller!","senang"
"Layanan pelanggan sangat responsif dan ramah.","senang"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, sangat menyebalkan.","marah"
"Penjual tidak jujur, barang second tanpa info.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari penjual.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak dikirim tepat waktu, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Sangat puas dengan kualitas dan pelayanan tokonya.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan masih dalam kondisi baru.","senang"
"Barang tidak sesuai foto, warna pudar dan bahan kasar.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai-sampai, akhirnya cancel order.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak profesional, tidak merespons sama sekali.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari penjual.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasikan.","netral"
"Produknya sangat bagus, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan penjual tidak merespons.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, sangat menyedihkan.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada keluhan, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Kualitasnya bagus dan tahan lama, mantap!","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Barang cepat sampai dan sesuai ekspektasi.","senang"
"Saya sangat senang dengan pelayanan tokonya.","senang"
"Barang tidak seperti yang saya harapkan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak sesuai harga.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo ternyata tidak valid, sangat menipu!","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Produknya sangat membantu, saya pasti beli lagi!","senang"
"Saya sangat puas dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Barang tidak sesuai foto, warna pudar dan bahan kasar.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan uang tidak kembali.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak profesional, tidak merespons sama sekali.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak dikirim tepat waktu, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan kondisi masih baru.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan penjual tidak merespons.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Produknya sangat bagus, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak sesuai foto, sangat mengecewakan.","marah"
"Kualitasnya jelek, tidak layak untuk harga segini.","marah"
"Barang tidak sampai dan penjual tidak merespons.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
